'TEAM_ID', 'FGA', 'FG_PCT', 'FG3A', 'FG3_PCT', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'AST', 'STL', 'BLK', 'TO', 'PF', 'PTS', 'HOME', 'TEAM_ID_O', 'FGA_O', 'FG_PCT_O', 'FG3A_O', 'FG3_PCT_O', 'FTA_O', 'FT_PCT_O', 'OREB_O', 'DREB_O', 'AST_O', 'STL_O', 'BLK_O', 'TO_O', 'PF_O', 'PTS_O', 'HOME_O'
1610612761.0, 89.0, 0.416, 15.0, 0.467, 25.0, 0.64, 17.0, 27.0, 20.0, 7.0, 4.0, 11.0, 21.0, 97.0, 0.0, 1610612737.0, 90.0, 0.433, 6.0, 0.333, 25.0, 0.88, 21.0, 34.0, 14.0, 8.0, 8.0, 11.0, 21.0, 102.0, 1.0, 2
1610612756.0, 80.0, 0.475, 14.0, 0.429, 24.0, 0.542, 8.0, 32.0, 24.0, 10.0, 7.0, 17.0, 18.0, 95.0, 0.0, 1610612737.0, 79.0, 0.405, 4.0, 0.25, 19.0, 0.895, 11.0, 37.0, 15.0, 8.0, 3.0, 23.0, 21.0, 82.0, 1.0, 1
1610612739.0, 79.0, 0.443, 7.0, 0.143, 27.0, 0.704, 18.0, 28.0, 17.0, 11.0, 10.0, 19.0, 21.0, 90.0, 0.0, 1610612737.0, 90.0, 0.5, 4.0, 0.75, 10.0, 0.8, 14.0, 28.0, 25.0, 11.0, 9.0, 12.0, 19.0, 101.0, 1.0, 2
1610612764.0, 76.0, 0.539, 15.0, 0.667, 16.0, 0.875, 11.0, 21.0, 23.0, 7.0, 6.0, 14.0, 16.0, 106.0, 0.0, 1610612737.0, 78.0, 0.526, 13.0, 0.385, 16.0, 0.75, 10.0, 23.0, 25.0, 8.0, 5.0, 14.0, 21.0, 99.0, 1.0, 1
1610612738.0, 84.0, 0.381, 12.0, 0.333, 22.0, 0.682, 15.0, 22.0, 20.0, 15.0, 2.0, 16.0, 19.0, 83.0, 0.0, 1610612737.0, 69.0, 0.449, 6.0, 0.167, 25.0, 0.76, 12.0, 36.0, 14.0, 13.0, 5.0, 23.0, 19.0, 82.0, 1.0, 1
1610612764.0, 81.0, 0.457, 12.0, 0.333, 21.0, 0.762, 11.0, 31.0, 22.0, 3.0, 8.0, 14.0, 16.0, 94.0, 0.0, 1610612737.0, 81.0, 0.444, 4.0, 0.5, 19.0, 0.842, 11.0, 34.0, 23.0, 8.0, 5.0, 17.0, 22.0, 90.0, 1.0, 1
1610612754.0, 71.0, 0.408, 14.0, 0.143, 30.0, 0.8, 9.0, 44.0, 22.0, 4.0, 5.0, 14.0, 16.0, 84.0, 0.0, 1610612737.0, 86.0, 0.372, 4.0, 0.0, 16.0, 0.75, 11.0, 34.0, 16.0, 7.0, 3.0, 10.0, 23.0, 76.0, 1.0, 1
1610612751.0, 84.0, 0.369, 15.0, 0.333, 22.0, 0.773, 10.0, 29.0, 15.0, 14.0, 4.0, 11.0, 21.0, 84.0, 0.0, 1610612737.0, 70.0, 0.4, 9.0, 0.333, 23.0, 0.826, 8.0, 41.0, 11.0, 7.0, 8.0, 22.0, 22.0, 78.0, 1.0, 1
1610612746.0, 69.0, 0.435, 13.0, 0.308, 31.0, 0.774, 7.0, 27.0, 16.0, 6.0, 6.0, 19.0, 18.0, 88.0, 0.0, 1610612737.0, 88.0, 0.523, 3.0, 1.0, 16.0, 0.813, 12.0, 27.0, 29.0, 6.0, 3.0, 11.0, 24.0, 108.0, 1.0, 2
1610612744.0, 86.0, 0.43, 18.0, 0.278, 18.0, 0.944, 18.0, 23.0, 18.0, 11.0, 3.0, 18.0, 19.0, 96.0, 0.0, 1610612737.0, 81.0, 0.519, 4.0, 0.5, 22.0, 0.955, 10.0, 29.0, 22.0, 8.0, 6.0, 15.0, 17.0, 107.0, 1.0, 2
1610612760.0, 81.0, 0.407, 16.0, 0.313, 34.0, 0.706, 18.0, 32.0, 19.0, 5.0, 2.0, 12.0, 20.0, 95.0, 0.0, 1610612737.0, 82.0, 0.427, 11.0, 0.364, 19.0, 0.632, 15.0, 35.0, 18.0, 6.0, 4.0, 16.0, 25.0, 86.0, 1.0, 1
1610612753.0, 86.0, 0.36, 15.0, 0.333, 21.0, 0.714, 20.0, 27.0, 12.0, 4.0, 8.0, 12.0, 24.0, 82.0, 0.0, 1610612737.0, 75.0, 0.427, 8.0, 0.25, 25.0, 0.68, 12.0, 36.0, 14.0, 3.0, 3.0, 17.0, 25.0, 83.0, 1.0, 2
1610612755.0, 79.0, 0.468, 8.0, 0.5, 25.0, 0.8, 16.0, 37.0, 27.0, 4.0, 7.0, 15.0, 14.0, 98.0, 0.0, 1610612737.0, 86.0, 0.395, 13.0, 0.308, 9.0, 0.889, 10.0, 26.0, 20.0, 9.0, 2.0, 13.0, 19.0, 80.0, 1.0, 1
