TEAM_ID, OFF_RATING, DEF_RATING, NET_RATING, AST_PCT, AST_TOV, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, USG_PCT, PACE, PACE_PER40, POSS, PIE, HOME, TEAM_ID_O, OFF_RATING_O, DEF_RATING_O, NET_RATING_O, AST_PCT_O, AST_TOV_O, AST_RATIO_O, OREB_PCT_O, DREB_PCT_O, REB_PCT_O, TM_TOV_PCT_O, EFG_PCT_O, TS_PCT_O, USG_PCT_O ,PACE_O, PACE_PER40_O, POSS_O, PIE_O, HOME_O, LABEL
1610612761.0, 110.9, 106.4, 4.5, 0.658, 1.79, 16.7, 0.267, 0.723, 0.467, 12.7, 0.484, 0.55, 1.0, 110.0, 91.67, 110.0, 0.516, 0.0, 1610612737.0, 106.4, 110.9, -4.5, 0.634, 1.08, 17.6, 0.277, 0.733, 0.533, 21.8, 0.566, 0.6, 1.0, 110.0, 91.67, 110.0, 0.484, 1.0, 1
1610612765.0, 132.0, 101.0, 31.1, 0.608, 1.72, 21.2, 0.378, 0.667, 0.549, 17.5, 0.68, 0.701, 1.0, 102.5, 85.42, 103.0, 0.685, 0.0, 1610612737.0, 101.0, 132.0, -31.1, 0.45, 0.9, 13.1, 0.333, 0.622, 0.451, 19.6, 0.484, 0.517, 1.0, 102.5, 85.42, 102.0, 0.315, 1.0, 1
1610612759.0, 113.2, 115.2, -2.0, 0.622, 1.87, 18.5, 0.315, 0.791, 0.526, 14.2, 0.5, 0.555, 1.0, 105.5, 87.92, 106.0, 0.498, 0.0, 1610612737.0, 115.2, 113.2, 2.0, 0.512, 1.11, 15.7, 0.209, 0.685, 0.474, 18.1, 0.616, 0.644, 1.0, 105.5, 87.92, 105.0, 0.502, 1.0, 2
1610612756.0, 105.8, 119.4, -13.6, 0.5, 1.67, 15.0, 0.245, 0.667, 0.454, 11.5, 0.483, 0.544, 1.0, 103.5, 86.25, 104.0, 0.472, 0.0, 1610612737.0, 119.4, 105.8, 13.6, 0.543, 1.47, 17.4, 0.333, 0.755, 0.546, 16.5, 0.57, 0.604, 1.0, 103.5, 86.25, 103.0, 0.528, 1.0, 2
1610612751.0, 100.9, 80.4, 20.6, 0.61, 0.96, 17.8, 0.233, 0.879, 0.624, 24.3, 0.597, 0.602, 1.0, 107.0, 89.17, 107.0, 0.649, 0.0, 1610612737.0, 80.4, 100.9, -20.6, 0.719, 1.92, 16.8, 0.121, 0.767, 0.376, 11.2, 0.392, 0.422, 1.0, 107.0, 89.17, 107.0, 0.351, 1.0, 1
1610612764.0, 103.7, 93.5, 10.2, 0.619, 2.89, 16.3, 0.351, 0.774, 0.523, 8.4, 0.42, 0.446, 1.0, 107.5, 89.58, 107.0, 0.522, 0.0, 1610612737.0, 93.5, 103.7, -10.2, 0.463, 1.06, 13.9, 0.226, 0.649, 0.477, 16.7, 0.5, 0.507, 1.0, 107.5, 89.58, 108.0, 0.478, 1.0, 1
1610612745.0, 111.9, 106.5, 5.4, 0.564, 1.69, 15.2, 0.31, 0.672, 0.504, 11.9, 0.495, 0.554, 1.0, 108.5, 90.42, 109.0, 0.573, 0.0, 1610612737.0, 106.5, 111.9, -5.4, 0.513, 1.82, 13.4, 0.328, 0.69, 0.496, 10.2, 0.429, 0.488, 1.0, 108.5, 90.42, 108.0, 0.427, 1.0, 1
1610612743.0, 129.5, 121.1, 8.4, 0.574, 6.75, 20.0, 0.271, 0.837, 0.538, 4.2, 0.56, 0.592, 1.0, 95.0, 79.17, 95.0, 0.542, 0.0, 1610612737.0, 121.1, 129.5, -8.4, 0.686, 2.4, 19.2, 0.163, 0.729, 0.462, 10.5, 0.571, 0.631, 1.0, 95.0, 79.17, 95.0, 0.458, 1.0, 1
1610612754.0, 113.3, 118.4, -5.1, 0.667, 2.18, 17.5, 0.315, 0.725, 0.489, 11.2, 0.471, 0.542, 1.0, 98.0, 81.67, 98.0, 0.456, 0.0, 1610612737.0, 118.4, 113.3, 5.1, 0.524, 1.57, 17.1, 0.275, 0.685, 0.511, 14.3, 0.573, 0.627, 1.0, 98.0, 81.67, 98.0, 0.544, 1.0, 2
1610612738.0, 106.9, 102.9, 4.0, 0.561, 1.77, 16.2, 0.339, 0.782, 0.559, 12.7, 0.473, 0.515, 1.0, 102.5, 85.42, 102.0, 0.551, 0.0, 1610612737.0, 102.9, 106.9, -4.0, 0.667, 1.86, 18.6, 0.218, 0.661, 0.441, 13.6, 0.505, 0.532, 1.0, 102.5, 85.42, 103.0, 0.449, 1.0, 1
1610612753.0, 94.9, 104.1, -9.2, 0.595, 2.44, 16.9, 0.25, 0.698, 0.444, 9.2, 0.444, 0.467, 1.0, 97.5, 81.25, 98.0, 0.443, 0.0, 1610612737.0, 104.1, 94.9, 9.2, 0.538, 1.0, 16.1, 0.302, 0.75, 0.556, 21.6, 0.537, 0.571, 1.0, 97.5, 81.25, 97.0, 0.557, 1.0, 2
1610612741.0, 116.0, 80.2, 35.8, 0.512, 1.29, 16.4, 0.289, 0.75, 0.545, 17.0, 0.58, 0.608, 1.0, 100.5, 83.75, 100.0, 0.678, 0.0, 1610612737.0, 80.2, 116.0, -35.8, 0.75, 1.14, 17.7, 0.25, 0.711, 0.455, 20.8, 0.424, 0.446, 1.0, 100.5, 83.75, 101.0, 0.322, 1.0, 1
1610612749.0, 103.7, 80.4, 23.3, 0.63, 1.61, 20.2, 0.188, 0.852, 0.56, 16.7, 0.566, 0.579, 1.0, 107.5, 89.58, 108.0, 0.672, 0.0, 1610612737.0, 80.4, 103.7, -23.3, 0.606, 1.11, 14.8, 0.148, 0.813, 0.44, 16.8, 0.429, 0.443, 1.0, 107.5, 89.58, 107.0, 0.328, 1.0, 1
1610612739.0, 109.0, 104.4, 4.6, 0.38, 0.83, 13.3, 0.255, 0.824, 0.551, 20.7, 0.578, 0.597, 1.0, 112.0, 93.33, 111.0, 0.509, 0.0, 1610612737.0, 104.4, 109.0, -4.6, 0.511, 1.44, 16.3, 0.176, 0.745, 0.449, 14.2, 0.553, 0.576, 1.0, 112.0, 93.33, 113.0, 0.491, 1.0, 1
1610612751.0, 110.9, 102.8, 8.2, 0.5, 1.44, 15.2, 0.328, 0.754, 0.559, 14.5, 0.515, 0.543, 1.0, 109.5, 91.25, 110.0, 0.581, 0.0, 1610612737.0, 102.8, 110.9, -8.2, 0.436, 1.7, 11.8, 0.246, 0.672, 0.441, 9.2, 0.424, 0.479, 1.0, 109.5, 91.25, 109.0, 0.419, 1.0, 1
1610612762.0, 104.7, 98.1, 6.6, 0.462, 0.95, 13.2, 0.26, 0.788, 0.529, 17.9, 0.506, 0.557, 1.0, 107.0, 89.17, 106.0, 0.546, 0.0, 1610612737.0, 98.1, 104.7, -6.6, 0.615, 1.5, 17.3, 0.212, 0.74, 0.471, 14.8, 0.494, 0.539, 1.0, 107.0, 89.17, 108.0, 0.454, 1.0, 1
1610612752.0, 134.9, 112.1, 22.8, 0.566, 2.5, 19.9, 0.348, 0.75, 0.569, 11.3, 0.626, 0.658, 1.0, 106.5, 88.75, 106.0, 0.627, 0.0, 1610612737.0, 112.1, 134.9, -22.8, 0.444, 1.82, 14.4, 0.25, 0.652, 0.431, 10.3, 0.53, 0.557, 1.0, 106.5, 88.75, 107.0, 0.373, 1.0, 1
1610612747.0, 95.3, 90.6, 4.7, 0.583, 0.95, 14.8, 0.288, 0.776, 0.545, 20.8, 0.458, 0.513, 1.0, 106.0, 88.33, 106.0, 0.602, 0.0, 1610612737.0, 90.6, 95.3, -4.7, 0.581, 0.9, 13.3, 0.224, 0.712, 0.455, 18.9, 0.43, 0.495, 1.0, 106.0, 88.33, 106.0, 0.398, 1.0, 1
1610612754.0, 103.8, 94.3, 9.4, 0.609, 1.87, 19.8, 0.167, 0.729, 0.477, 14.2, 0.538, 0.558, 1.0, 106.0, 88.33, 106.0, 0.564, 0.0, 1610612737.0, 94.3, 103.8, -9.4, 0.615, 1.6, 16.8, 0.271, 0.833, 0.523, 14.2, 0.447, 0.48, 1.0, 106.0, 88.33, 106.0, 0.436, 1.0, 1
1610612741.0, 125.9, 96.2, 29.7, 0.593, 2.46, 21.7, 0.19, 0.765, 0.505, 12.0, 0.633, 0.664, 1.0, 107.0, 89.17, 108.0, 0.658, 0.0, 1610612737.0, 96.2, 125.9, -29.7, 0.743, 1.13, 18.1, 0.235, 0.81, 0.495, 21.7, 0.5, 0.54, 1.0, 107.0, 89.17, 106.0, 0.342, 1.0, 1
