2022-12-05 19:12:34,218 INFO    MainThread:12460 [wandb_setup.py:_flush():68] Configure stats pid to 12460
2022-12-05 19:12:34,219 INFO    MainThread:12460 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Calculos\.config\wandb\settings
2022-12-05 19:12:34,219 INFO    MainThread:12460 [wandb_setup.py:_flush():68] Loading settings from d:\UniSergio\BasketScripts\WaB\wandb\settings
2022-12-05 19:12:34,219 INFO    MainThread:12460 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-05 19:12:34,219 INFO    MainThread:12460 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-12-05 19:12:34,219 INFO    MainThread:12460 [wandb_init.py:_log_setup():476] Logging user logs to d:\UniSergio\BasketScripts\WaB\wandb\run-20221205_191234-3vglauat\logs\debug.log
2022-12-05 19:12:34,219 INFO    MainThread:12460 [wandb_init.py:_log_setup():477] Logging internal logs to d:\UniSergio\BasketScripts\WaB\wandb\run-20221205_191234-3vglauat\logs\debug-internal.log
2022-12-05 19:12:34,220 INFO    MainThread:12460 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002AE8CA65970>
2022-12-05 19:12:34,220 INFO    MainThread:12460 [wandb_init.py:init():516] calling init triggers
2022-12-05 19:12:34,220 INFO    MainThread:12460 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'num_neurons': 30, 'acti_fun': 'sigmoid', 'batch_size': 150, 'epochs': 500, 'architecture': 'OneHiddenLayer', 'dataset': '2020-21_advance', 'loss': 0.12372350692749023, 'acc': 0.8914999961853027, 'val_loss': 0.5851289629936218, 'val_acc': 0.7160000205039978}
2022-12-05 19:12:34,220 INFO    MainThread:12460 [wandb_init.py:init():569] starting backend
2022-12-05 19:12:34,220 INFO    MainThread:12460 [wandb_init.py:init():573] setting up manager
2022-12-05 19:12:34,221 INFO    MainThread:12460 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-12-05 19:12:34,223 INFO    MainThread:12460 [wandb_init.py:init():580] backend started and connected
2022-12-05 19:12:34,224 INFO    MainThread:12460 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-12-05 19:12:34,224 INFO    MainThread:12460 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-12-05 19:12:34,224 INFO    MainThread:12460 [wandb_init.py:init():658] updated telemetry
2022-12-05 19:12:34,224 INFO    MainThread:12460 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-05 19:12:35,949 INFO    MainThread:12460 [wandb_run.py:_on_init():2000] communicating current version
2022-12-05 19:12:36,485 INFO    MainThread:12460 [wandb_run.py:_on_init():2004] got version response 
2022-12-05 19:12:36,485 INFO    MainThread:12460 [wandb_init.py:init():728] starting run threads in backend
2022-12-05 19:12:39,236 INFO    MainThread:12460 [wandb_run.py:_console_start():1980] atexit reg
2022-12-05 19:12:39,237 INFO    MainThread:12460 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-05 19:12:39,237 INFO    MainThread:12460 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-05 19:12:39,237 INFO    MainThread:12460 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-05 19:12:39,237 INFO    MainThread:12460 [wandb_init.py:init():765] run started, returning control to user process
2022-12-05 19:12:39,395 INFO    MainThread:12460 [wandb_run.py:_finish():1746] finishing run progettobasket/TAdv2021runs/3vglauat
2022-12-05 19:12:39,396 ERROR   MainThread:12460 [jupyter.py:save_history():440] Run pip install nbformat to save notebook history
2022-12-05 19:12:39,396 INFO    MainThread:12460 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2022-12-05 19:12:39,396 INFO    MainThread:12460 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2022-12-05 19:12:39,396 INFO    MainThread:12460 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-12-05 19:12:39,397 INFO    MainThread:12460 [wandb_run.py:_restore():1932] restore
2022-12-05 19:12:39,397 INFO    MainThread:12460 [wandb_run.py:_restore():1938] restore done
2022-12-05 19:12:45,162 INFO    MainThread:12460 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-12-05 19:12:45,162 INFO    MainThread:12460 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-12-05 19:12:45,167 INFO    MainThread:12460 [wandb_run.py:_footer_sync_info():3333] logging synced files
